X3TCREDADV,X3TCREDHON,X5DUALCRSFLG,A1G9STUDY,X3TGPA9TH,X1TXMTH,X1PAREDU,X1FAMINCOME,X1POVERTY,X1POVERTY130,X1PAR1EMP,X1STDOB,X1SEX_1.0,X1SEX_2.0,X1RACE_1.0,X1RACE_2.0,X1RACE_3.0,X1RACE_4.0,X1RACE_5.0,X1RACE_6.0,X1RACE_7.0,X1RACE_8.0,Cluster,T_ADV,T_HON,T_STUDY,T_ADV_hat,T_HON_hat
2.0,3.0,3.0,0.0,2.0,-0.0243,4.0,6.0,0.0,0.0,4.0,199504.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,0.19186867482041411,0.2986281153407685
0.0,0.0,3.0,0.0,1.5,-0.3262,2.0,2.0,1.0,1.0,2.0,199411.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0,0,0,0.12357194874785915,0.1585866371405702
1.0,2.0,3.0,0.0,3.5,-1.7413,4.0,13.0,0.0,0.0,4.0,199408.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.3286592867488822,0.5048722748565697
2.0,3.0,3.0,1.0,3.5,0.6389,2.0,8.0,0.0,0.0,2.0,199502.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,1,0.49807332062693344,0.5858078145128283
1.0,0.0,2.0,0.0,3.5,0.8136,4.0,4.0,0.0,0.0,4.0,199505.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0.6264846752407349,0.5738598006929746
0.0,5.5,3.0,0.0,3.0,,,,,,,199500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,1,0,0.41311241215886363,0.46187786874935455
1.0,0.0,3.0,0.0,1.0,,3.0,3.0,0.0,0.0,4.0,199500.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.1856357403522046,0.22644883679384326
3.0,0.0,3.0,0.0,3.0,-0.0341,2.0,8.0,0.0,0.0,4.0,199503.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.2419447302315749,0.44298819452250215
2.0,4.0,3.0,1.0,3.0,1.5791,,,,,,199510.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0.5407283160172198,0.5788393997391408
7.0,0.0,3.0,1.0,2.5,0.0473,3.0,3.0,0.0,0.0,2.0,199503.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0.14658599875528833,0.2384059041280343
5.0,17.0,3.0,1.0,3.0,1.1213,7.0,6.0,0.0,0.0,3.0,199601.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1,0.5727174300153242,0.5763160922769973
0.5,0.0,3.0,1.0,3.0,0.4506,5.0,7.0,0.0,0.0,4.0,199410.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0.46427862452658836,0.5429504492974324
2.5,11.0,2.0,0.0,3.5,0.1702,,,,,,199503.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0.43976099813472,0.5180232844452657
5.5,0.0,3.0,0.0,3.5,1.0648,2.0,2.0,1.0,1.0,3.0,199504.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,1,0,0,0.5347195794897699,0.5482577267975535
0.0,4.0,3.0,0.0,3.5,0.3065,4.0,5.0,0.0,0.0,4.0,199412.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,1,0,0.5017520346420057,0.5532656803165746
1.0,0.0,3.0,0.0,3.5,0.6707,2.0,4.0,0.0,0.0,4.0,199501.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,0,0.5355788077938152,0.5432897528701371
0.5,0.0,3.0,1.0,2.0,1.0386,2.0,2.0,0.0,1.0,4.0,199505.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,1,0.2872685191433602,0.29780071074393066
1.5,0.0,3.0,0.0,1.5,1.1073,4.0,2.0,0.0,1.0,4.0,199411.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,0,0,0,0.31060054525955655,0.31637441239000164
0.0,0.0,3.0,0.0,4.0,1.8276,5.0,6.0,0.0,0.0,4.0,199412.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0.8392307407543821,0.7526485148371508
2.0,3.5,3.0,0.0,4.0,0.9546,4.0,4.0,0.0,0.0,4.0,199502.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0.6655317118836312,0.6035477103445734
