STU_ID,SCH_ID,X3TGPA9TH,X1TXMTH,X1PAREDU,X1FAMINCOME,X1POVERTY,X1POVERTY130,X1PAR1EMP,X1SEX,X1RACE,X1STDOB,C1GETAHEAD,X3TCREDADV,X3TCREDHON,X5DUALCRSFLG,A1G9STUDY,X3TGPAACAD,X3TGPA12TH,X5GPAALL,X3TXSATCOMP
31871,-5,3.0,-0.3744,2,3,0,0,4,2,8,199502,-5,0.0,0.0,3,-8,3.0,3.0,4.0,-5
31873,-5,3.0,0.3859,5,12,0,0,4,1,8,199507,-5,16.0,3.5,3,0,3.5,3.5,2.7,-5
31874,-5,2.0,-1.0046,2,2,0,1,4,2,8,199503,-5,0.0,0.0,-6,1,1.5,0.5,-6.0,-5
31875,-5,3.5,1.4188,2,6,0,0,2,2,8,199408,-5,7.0,9.0,3,1,4.0,3.5,4.0,-5
31876,-5,3.5,1.1557,7,13,0,0,2,1,8,199408,-5,4.5,12.0,3,1,3.5,3.0,3.7,-5
31879,-5,1.5,-1.9543,2,1,1,1,4,1,3,199507,-5,0.5,0.0,-6,0,1.5,-1.0,-6.0,-5
31880,-5,2.0,-0.2385,1,1,1,1,4,1,3,199408,-5,0.0,0.0,-6,1,1.5,-1.0,-6.0,-5
31881,-5,-8.0,-0.5909,2,2,0,1,4,2,8,199504,-5,-8.0,-8.0,-8,-9,-8.0,-8.0,-8.0,-5
31882,-5,2.0,-0.88,4,2,0,1,2,2,3,199409,-5,2.0,0.0,3,-9,2.5,3.0,2.7,-5
31883,-5,4.0,0.8369,2,3,0,0,4,1,2,199405,-5,7.0,6.0,3,0,4.0,3.5,3.3,-5
31884,-5,4.0,1.926,2,5,0,0,4,2,2,199503,-5,9.0,8.0,3,1,3.5,3.5,3.0,-5
31885,-5,1.5,-0.1599,-8,-8,-8,-8,-8,1,8,199409,-5,0.0,0.0,-6,0,1.0,2.0,-6.0,-5
31886,-5,1.5,-1.8434,-8,-8,-8,-8,-8,1,8,199503,-5,0.5,0.0,-8,1,1.5,-1.0,-8.0,-5
31887,-5,1.5,-0.2184,-8,-8,-8,-8,-8,1,8,199502,-5,0.0,0.0,-6,-9,1.5,-1.0,-6.0,-5
31888,-5,1.5,-0.6056,-8,-8,-8,-8,-8,1,8,199311,-5,0.0,0.0,-6,0,1.5,-1.0,-6.0,-5
31889,-5,-1.0,1.0578,3,5,0,0,4,2,8,199411,-5,0.5,2.5,2,1,3.5,-1.0,3.6,-5
31890,-5,3.0,1.2049,4,2,0,1,4,1,8,199505,-5,3.0,4.0,3,1,2.5,2.5,1.6,-5
31891,-5,3.5,0.9334,2,4,0,0,3,2,8,199502,-5,8.5,0.0,3,1,3.5,4.0,3.9,-5
31892,-5,-1.0,-1.299,1,1,1,1,2,2,3,199310,-5,0.0,0.0,3,1,1.0,-1.0,1.9,-5
31893,-5,3.0,0.0421,4,4,0,0,4,1,8,199504,-5,0.0,0.0,-8,0,2.0,1.0,-8.0,-5
31894,-5,1.0,-1.5438,-8,-8,-8,-8,-8,2,8,199302,-5,0.0,0.0,-6,0,0.5,-1.0,-6.0,-5
31895,-5,1.0,-0.7613,2,2,0,1,4,2,8,199503,-5,0.0,0.0,3,1,2.0,3.0,1.8,-5
31896,-5,4.0,0.5467,4,4,0,0,4,2,2,199412,-5,16.0,0.0,2,0,4.0,3.5,2.9,-5
31898,-5,3.5,0.5157,4,4,0,0,3,1,8,199507,-5,0.0,3.0,-8,0,3.5,4.0,-8.0,-5
31899,-5,3.5,0.0098,2,4,0,0,3,2,8,199406,-5,0.0,0.0,2,0,3.5,3.5,3.3,-5
31900,-5,2.0,-0.6442,2,1,1,1,2,2,6,199508,-5,1.0,1.0,3,1,1.5,-1.0,1.3,-5
31901,-5,2.0,-8.0,-8,-8,-8,-8,-8,1,-9,-9,-5,1.0,0.0,3,-9,2.0,2.0,2.0,-5
31902,-5,2.0,-0.639,-8,-8,-8,-8,-8,2,5,199411,-5,0.0,0.0,-8,0,2.0,2.5,-8.0,-5
31904,-5,2.5,-0.1201,2,3,0,0,2,1,5,199408,-5,0.0,0.0,-6,-9,3.0,3.5,-6.0,-5
31905,-5,3.5,-1.2047,-8,-8,-8,-8,-8,2,5,199501,-5,0.0,0.0,3,0,3.0,3.0,-7.0,-5
31906,-5,-8.0,-1.8915,-8,-8,-8,-8,-8,1,3,199303,-5,-8.0,-8.0,-6,0,-8.0,-8.0,-6.0,-5
31907,-5,4.0,1.4017,2,5,0,0,3,1,8,199412,-5,3.0,0.0,3,1,3.5,3.5,2.9,-5
31908,-5,2.0,0.0221,-8,-8,-8,-8,-8,1,8,199412,-5,0.0,0.0,-6,0,2.0,-1.0,-6.0,-5
31909,-5,3.5,-8.0,-8,-8,-8,-8,-8,1,2,199500,-5,2.0,5.0,3,-8,3.5,3.0,3.8,-5
31910,-5,3.5,0.9387,5,5,0,0,4,2,8,199409,-5,2.0,1.0,3,1,3.5,3.5,3.5,-5
31911,-5,3.5,-0.744,5,7,0,0,4,2,8,199407,-5,2.5,0.0,3,0,3.0,3.0,2.3,-5
31912,-5,2.5,-8.0,-8,-8,-8,-8,-8,1,-9,199500,-5,3.0,0.0,-6,0,1.0,-1.0,-6.0,-5
31913,-5,-1.0,1.2353,5,3,0,0,4,1,8,199409,-5,9.0,1.5,3,0,3.0,-1.0,0.8,-5
