STU_ID,X3TGPA9TH,X1TXMTH,X1PAREDU,X1FAMINCOME,X1POVERTY,X1POVERTY130,X1PAR1EMP,X1SEX,X1RACE,X1STDOB,X3TCREDADV,X3TCREDHON,X5DUALCRSFLG,A1G9STUDY,X3TGPAACAD,X3TGPA12TH,X5GPAALL,X1PAREDU_label,X1SEX_label,X1RACE_label,X1SEX_1.0,X1SEX_2.0,X1RACE_1.0,X1RACE_2.0,X1RACE_3.0,X1RACE_4.0,X1RACE_5.0,X1RACE_6.0,X1RACE_7.0,X1RACE_8.0
34606,2.0,-0.5792,3.0,3.0,0.0,0.0,2.0,1.0,8.0,199508.0,1.5,0.0,,1.0,1.0,,,Certificate,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34607,4.0,1.4774,7.0,7.0,0.0,0.0,4.0,2.0,8.0,199504.0,4.5,0.0,3.0,1.0,3.5,3.0,1.8,Graduate degree,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34608,3.0,0.5462,,,,,,1.0,2.0,199501.0,4.5,0.0,,0.0,3.0,3.0,,,Male,Asian,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34609,3.0,0.6168,5.0,13.0,0.0,0.0,2.0,1.0,8.0,199504.0,6.5,1.0,,0.0,3.0,2.5,,Bachelor,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34610,3.0,1.0078,4.0,9.0,0.0,0.0,4.0,1.0,8.0,199505.0,0.0,0.0,,0.0,3.5,3.5,,Some college/Associate,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34611,,0.6925,4.0,2.0,0.0,1.0,4.0,2.0,5.0,199501.0,,,3.0,0.0,,,1.8,Some college/Associate,Female,Hispanic (race specified),0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34612,1.5,,,,,,,2.0,,199500.0,0.0,0.0,,0.0,1.0,,,,Female,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34613,1.5,-0.4908,3.0,1.0,1.0,1.0,2.0,1.0,8.0,199411.0,0.0,1.0,,0.0,2.0,,,Certificate,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34614,2.5,-1.0458,2.0,8.0,0.0,0.0,2.0,1.0,8.0,199408.0,0.0,1.0,,0.0,2.0,3.0,,HS diploma,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34617,2.5,-0.5183,4.0,13.0,0.0,0.0,2.0,1.0,8.0,199408.0,1.0,2.0,,1.0,3.0,3.0,,Some college/Associate,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34619,3.0,-0.099,,,,,,1.0,8.0,199410.0,0.0,1.0,,1.0,2.0,,,,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34620,2.5,0.4791,2.0,2.0,0.0,0.0,2.0,1.0,3.0,199509.0,2.0,1.0,,1.0,2.5,2.5,,HS diploma,Male,Black,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34621,4.0,0.764,5.0,5.0,0.0,0.0,4.0,2.0,8.0,199501.0,1.0,0.0,3.0,0.0,3.5,3.5,3.1,Bachelor,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34622,,-0.9056,,,,,,1.0,8.0,199410.0,,,,1.0,,,,,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34623,2.0,0.1482,2.0,1.0,1.0,1.0,3.0,2.0,8.0,199505.0,0.0,0.0,,0.0,1.5,,,HS diploma,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34624,3.5,,5.0,,,,2.0,2.0,8.0,199500.0,8.0,8.0,3.0,1.0,3.5,3.5,3.3,Bachelor,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34625,3.5,-0.3372,,,,,,1.0,5.0,199409.0,0.5,2.0,3.0,1.0,3.0,2.5,0.0,,Male,Hispanic (race specified),1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34627,2.5,-0.3608,2.0,4.0,0.0,0.0,4.0,2.0,8.0,199504.0,3.5,0.0,,0.0,2.5,2.5,,HS diploma,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34628,4.0,1.1058,2.0,4.0,0.0,0.0,4.0,2.0,5.0,199512.0,3.5,1.0,3.0,0.0,3.5,3.0,2.8,HS diploma,Female,Hispanic (race specified),0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34629,4.0,0.8301,4.0,3.0,0.0,0.0,4.0,2.0,2.0,199507.0,3.5,2.0,3.0,,4.0,4.0,3.7,Some college/Associate,Female,Asian,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34630,2.5,0.3303,,,,,,1.0,8.0,199506.0,1.0,0.0,,0.0,2.5,3.5,,,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34631,2.5,,,,,,,1.0,,199400.0,0.0,0.0,,,2.0,2.5,,,Male,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34632,3.0,-0.3763,4.0,4.0,0.0,0.0,4.0,2.0,6.0,199505.0,2.0,3.0,3.0,1.0,3.0,3.0,2.6,Some college/Associate,Female,Multiracial,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34633,,-1.085,,,,,,1.0,8.0,199503.0,,,,0.0,,,,,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34634,2.5,-0.1566,3.0,1.0,1.0,1.0,2.0,1.0,8.0,199402.0,1.5,1.0,,0.0,1.5,2.0,,Certificate,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34635,4.0,-0.2304,4.0,5.0,0.0,0.0,4.0,2.0,8.0,199407.0,2.5,0.0,2.0,1.0,4.0,4.0,4.0,Some college/Associate,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
